#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    
81        	75        	ok              	2.4900000000e-03	4.7120000000e+02	9.9253149591e+16	3.8274571938e+16	1.8541213777e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
82        	74        	ok              	2.1230000000e-03	4.7120000000e+02	8.4624541637e+16	3.2633299689e+16	1.8541251425e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
83        	74        	ok              	1.8110000000e-03	4.7120000000e+02	7.2187928239e+16	2.7837449711e+16	1.8541245783e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
84        	74        	ok              	1.5440000000e-03	4.7120000000e+02	6.1545065482e+16	2.3733308864e+16	1.8541240741e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
85        	74        	ok              	1.3170000000e-03	4.7120000000e+02	5.2496645428e+16	2.0244020579e+16	1.8541236270e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
86        	74        	ok              	1.1230000000e-03	4.7120000000e+02	4.4763639255e+16	1.7261985657e+16	1.8541232283e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
87        	74        	ok              	9.5750000000e-04	4.7120000000e+02	3.8166671158e+16	1.4718033185e+16	1.8541228736e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
88        	74        	ok              	8.1650000000e-04	4.7120000000e+02	3.2546296034e+16	1.2550677907e+16	1.8541225499e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
89        	74        	ok              	6.9630000000e-04	4.7120000000e+02	2.7755027795e+16	1.0703045960e+16	1.8541222512e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
90        	74        	ok              	5.9370000000e-04	4.7120000000e+02	2.3665311323e+16	9.1259491404e+15	1.8541219842e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
